Marker,qwen_7b_judge,qwen_14b_judge,gemma_4b_judge,gemma_12b_judge,Overall,Tie rate
clarity actionability,0.4515366430260047,0.33220338983050846,0.5002004008016032,0.2989646246764452,0.40617505995203834,0.3328
endurance development,0.3659574468085106,0.2596949891067538,0.294,0.39953271028037385,0.3280560043080237,0.0715
explanation quality,0.4641330166270784,0.2038664323374341,0.4460674157303371,0.19037743674823723,0.322129201549419,0.1997
load progression,0.46378132118451026,0.2689814814814815,0.4816709292412617,0.1984577922077922,0.35111838516093835,0.0835
plan coherence,0.44227886056971516,0.28144280968201235,0.4654950707243892,0.2693955259400286,0.36,0.2125
quality session design,0.4794794794794795,0.27634774162214665,0.3293492695883134,0.25523429710867396,0.33441480413362173,0.1678
readiness alignment,0.4479166666666667,0.3037542662116041,0.6111111111111112,0.23174238067855088,0.39835814665368025,0.2813
recovery safety,0.40843123704215617,0.344810379241517,0.5164835164835165,0.2713864306784661,0.3907076303198187,0.2058
training specificity,0.4440069991251094,0.4386385426653883,0.41830065359477125,0.6492194674012856,0.4854412091575906,0.1002
