llm_win_rate_all,llm_win_rate_excluding_ties,llm_win_rate_ties_half,llm_wins,marker,n,programmatic_win_rate_all,programmatic_wins,source_model_family,tie_rate,ties
0.2920258620689655,0.41147889462496207,0.437176724137931,1355,clarity_actionability,4640,0.41767241379310344,1938,gemma,0.29030172413793104,1347
0.25279850746268656,0.4010062148564664,0.43759328358208954,1355,clarity_actionability,5360,0.3776119402985075,2024,qwen,0.36958955223880596,1981
0.32068965517241377,0.3450034778576397,0.355926724137931,1488,endurance_development,4640,0.6088362068965517,2825,gemma,0.07047413793103448,327
0.29067164179104477,0.3133547868061142,0.32686567164179103,1558,endurance_development,5360,0.6369402985074627,3414,qwen,0.07238805970149254,388
0.26163793103448274,0.31200205602672837,0.3423491379310345,1214,explanation_quality,4640,0.5769396551724137,2677,gemma,0.16142241379310346,749
0.2544776119402985,0.3317120622568093,0.37089552238805973,1364,explanation_quality,5360,0.5126865671641792,2748,qwen,0.23283582089552238,1248
0.31961206896551725,0.35092285849503074,0.3642241379310345,1483,load_progression,4640,0.5911637931034482,2743,gemma,0.08922413793103448,414
0.32369402985074625,0.3512856853614092,0.36296641791044776,1735,load_progression,5360,0.5977611940298507,3204,qwen,0.07854477611940298,421
0.29288793103448274,0.36019082957858467,0.3863146551724138,1359,plan_coherence,4640,0.5202586206896552,2414,gemma,0.18685344827586206,867
0.2753731343283582,0.3598244758654315,0.3927238805970149,1476,plan_coherence,5360,0.4899253731343284,2626,qwen,0.23470149253731343,1258
0.27435344827586206,0.31124694376528117,0.3336206896551724,1273,quality_session_design,4640,0.6071120689655173,2817,gemma,0.11853448275862069,550
0.28171641791044777,0.3568052930056711,0.3869402985074627,1510,quality_session_design,5360,0.5078358208955224,2722,qwen,0.21044776119402986,1128
0.30668103448275863,0.4118668596237337,0.434375,1423,readiness_alignment,4640,0.4379310344827586,2032,gemma,0.25538793103448276,1185
0.26865671641791045,0.3858520900321543,0.4205223880597015,1440,readiness_alignment,5360,0.42761194029850746,2292,qwen,0.3037313432835821,1628
0.327801724137931,0.4002631578947368,0.4183189655172414,1521,recovery_safety,4640,0.49116379310344827,2279,gemma,0.1810344827586207,840
0.29514925373134326,0.38194109126026077,0.40876865671641793,1582,recovery_safety,5360,0.47761194029850745,2560,qwen,0.22723880597014925,1218
0.452801724137931,0.49774934849561714,0.49795258620689653,2101,training_specificity,4640,0.45689655172413796,2120,gemma,0.09030172413793103,419
0.4229477611940298,0.4745656269625288,0.4773320895522388,2267,training_specificity,5360,0.46828358208955223,2510,qwen,0.10876865671641792,583
