llm_win_rate_all,llm_win_rate_excluding_ties,llm_win_rate_ties_half,llm_wins,marker,n,programmatic_wins,self_family_match,tie_rate,ties
0.32864077669902914,0.4073405535499398,0.42524271844660194,677,clarity_actionability,2060,985,False,0.19320388349514564,398
0.1529126213592233,0.386977886977887,0.4553398058252427,315,clarity_actionability,2060,499,True,0.6048543689320388,1246
0.27621359223300973,0.3031433137986148,0.32063106796116503,569,endurance_development,2060,1308,False,0.08883495145631068,183
0.26359223300970874,0.2847404299947562,0.30072815533980585,543,endurance_development,2060,1364,True,0.07427184466019418,153
0.24514563106796117,0.3160200250312891,0.3572815533980582,505,explanation_quality,2060,1093,False,0.22427184466019418,462
0.2412621359223301,0.3304521276595745,0.3762135922330097,497,explanation_quality,2060,1007,True,0.26990291262135924,556
0.35436893203883496,0.3735926305015353,0.3800970873786408,730,load_progression,2060,1224,False,0.05145631067961165,106
0.3257281553398058,0.37612107623318386,0.3927184466019418,671,load_progression,2060,1113,True,0.13398058252427184,276
0.33300970873786406,0.4066390041493776,0.42354368932038833,686,plan_coherence,2060,1001,False,0.18106796116504853,373
0.21019417475728155,0.31536780772032047,0.3769417475728155,433,plan_coherence,2060,940,True,0.33349514563106797,687
0.24611650485436892,0.325,0.3674757281553398,507,quality_session_design,2060,1053,False,0.24271844660194175,500
0.27427184466019416,0.3553459119496855,0.3883495145631068,565,quality_session_design,2060,1025,True,0.22815533980582525,470
0.29514563106796116,0.4574868322046652,0.47257281553398056,608,readiness_alignment,2060,721,False,0.3548543689320388,731
0.2558252427184466,0.37402413058907025,0.41383495145631066,527,readiness_alignment,2060,882,True,0.31601941747572815,651
0.33737864077669905,0.4212121212121212,0.4368932038834951,695,recovery_safety,2060,955,False,0.19902912621359223,410
0.2504854368932039,0.3709561466570812,0.4128640776699029,516,recovery_safety,2060,875,True,0.32475728155339806,669
0.45048543689320386,0.5035268583830711,0.5031553398058253,928,training_specificity,2060,915,False,0.10533980582524272,217
0.39174757281553396,0.4593056346044394,0.4652912621359223,807,training_specificity,2060,950,True,0.1470873786407767,303
