judge,leakage_split,llm_win_rate,llm_wins,n,programmatic_wins,ties,wald_ci_high,wald_ci_low
gemma_12b_judge,clean,0.2766990291262136,285,1030,745,0,0.30402029393517893,0.24937776431724823
gemma_4b_judge,clean,0.32038834951456313,330,1030,700,0,0.3488858142065304,0.29189088482259584
qwen_14b_judge,clean,0.4368932038834951,450,1030,580,0,0.4671846835407693,0.40660172422622093
qwen_7b_judge,clean,0.34368932038834954,354,1030,676,0,0.3726944769014742,0.31468416387522485
gemma_12b_judge,flagged,0.30952380952380953,455,1470,1015,0,0.33315680591695696,0.2858908131306621
gemma_4b_judge,flagged,0.3442176870748299,506,1470,964,0,0.3685058039805702,0.3199295701690896
qwen_14b_judge,flagged,0.3979591836734694,585,1470,885,0,0.422981622582968,0.37293674476397076
qwen_7b_judge,flagged,0.46802721088435373,688,1470,782,0,0.49353528468807545,0.442519137080632
