category,leakage_split,marker,n,rate
source_consistent_programmatic,flagged,readiness_alignment,537,0.1826530612244898
consistent_tie,flagged,recovery_safety,114,0.03877551020408163
other_inconsistent,flagged,recovery_safety,751,0.25544217687074827
position_consistent_plan_a,flagged,recovery_safety,1476,0.5020408163265306
position_consistent_plan_b,flagged,recovery_safety,13,0.004421768707482994
source_consistent_llm,flagged,recovery_safety,69,0.02346938775510204
source_consistent_programmatic,flagged,recovery_safety,517,0.1758503401360544
consistent_tie,flagged,training_specificity,39,0.013265306122448979
other_inconsistent,flagged,training_specificity,404,0.13741496598639455
position_consistent_plan_a,flagged,training_specificity,258,0.08775510204081632
position_consistent_plan_b,flagged,training_specificity,952,0.3238095238095238
source_consistent_llm,flagged,training_specificity,610,0.20748299319727892
source_consistent_programmatic,flagged,training_specificity,677,0.2302721088435374
